Name,Year,Played,Won,Lost,Tied,No result,Win%
Ajit Wadekar,1974,2,0,2,0,0,0
S. Venkataraghavan,1975-1979,7,1,6,0,0,14
Bishan Singh Bedi,1975-1978,4,1,3,0,0,25
Sunil Gavaskar,1980-1986,37,14,21,0,2,40
Gundappa Viswanath,1980,1,0,1,0,0,0
Kapil Dev,1982-1992,74,40,32,0,2,56
Syed Kirmani,1983,1,0,1,0,0,0
Mohinder Amarnath,1984,1,0,0,0,1,0
Ravi Shastri,1986-1991,11,4,7,0,0,36
Dilip Vengsarkar,1987-1988,18,8,10,0,0,44
Krishnamachari Srikkanth,1989-1990,13,4,8,0,1,33
Mohammad Azharuddin,1989-1999,174,90,76,2,6,54
Sachin Tendulkar,1996-1999,73,23,43,1,6,35
Ajay Jadeja,1997-1999,13,8,5,0,0,62
Sourav Ganguly,1999-2005,146,76,65,0,5,54
Rahul Dravid,2000-2007,79,42,33,0,4,53
Anil Kumble,2001,1,1,0,0,0,100
Virender Sehwag,2003-2011,12,7,5,0,0,58
M.S. Dhoni,2007-2018,200,110,74,5,11,60
Suresh Raina,2010-2014,12,6,5,0,1,54
Gautam Gambhir,2010-2011,6,6,0,0,0,100
Virat Kohli,2013-still,95,65,27,1,2,70
Ajinkya Rahane,2015-2015,3,3,0,0,0,100
Rohit Sharma,2017-still,19,15,4,0,0,81
Shikhar Dhawan,2021-still,3,2,1,0,0,66
