Name,Year,Played,Won,Lost,Tied,Win%
C. K. Nayudu,1932-1933,4,0,3,1,0
"Nawab of Pataudi, Sr.",1946,3,0,1,2,0
Vijay Hazare,1951-1952,14,1,5,8,7.14
Vinoo Mankad,1954-1959,6,0,1,5,0
Ghulam Ahmed,1955-1958,3,0,2,1,0
Polly Umrigar,1955-1958,8,2,2,4,25
Hemu Adhikari,1958,1,0,0,1,0
Datta Gaekwad,1959,4,0,4,0,0
Pankaj Roy,1959,1,0,1,0,0
Gulabrai Ramchand,1959,5,1,2,2,20
Nari Contractor,1960-1961,12,2,2,8,16.66
"Nawab of Pataudi, Jr.",1961-1974,40,9,19,12,22.5
Chandu Borde,1967,1,0,1,0,0
Ajit Wadekar,1970-1974,16,4,4,8,25
Srinivas Venkataraghavan,1974-1979,5,0,2,3,0
Sunil Gavaskar,1975-1984,47,9,8,30,19.14
Bishan Singh Bedi,1975-1978,22,6,11,5,27.27
Gundappa Viswanath,1979,2,0,1,1,0
Kapil Dev,1982-1986,34,4,7,23,11.7
Dilip Vengsarkar,1987-1989,10,2,5,3,20
Ravi Shastri,1987,1,1,0,0,100
Krishnamachari Srikkanth,1989,4,0,0,4,0
Mohammad Azharuddin,1989-1998,47,14,14,19,29.78
Sachin Tendulkar,1996-1999,25,4,9,12,16
Sourav Ganguly,2000-2005,49,21,13,15,42.85
Rahul Dravid,2003-2007,25,8,6,11,32
Virender Sehwag,2005-2012,4,2,1,1,50
Anil Kumble,2007-2008,14,3,5,6,21.42
MS Dhoni,2007-2014,60,27,18,15,45.76
Virat Kohli,2014-Present,61,36,15,10,59.01
Ajinkya Rahane,2017-2021,5,4,0,1,80
